winner,total_rounds,rounds_since_last_stuck,average_rounds_between_stuck,total_stuck_events
Player 2,20.0,0.0,0.0,0.0
Player 2,43.0,23.0,15.666666666666666,3.0
Player 2,20.0,0.0,0.0,0.0
Player 2,52.0,13.0,18.0,4.0
Player 2,20.0,0.0,0.0,0.0
Player 1,36.0,3.0,16.0,2.0
Player 1,16.0,0.0,0.0,0.0
Player 1,32.0,7.0,13.0,2.0
Player 2,17.0,0.0,0.0,0.0
Player 1,42.0,9.0,12.0,4.0
Player 1,14.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,18.0,0.0,0.0,0.0
Player 1,30.0,31.0,31.0,1.0
Player 2,14.0,0.0,0.0,0.0
Player 2,20.0,3.0,3.0,1.0
Player 2,32.0,11.0,12.0,2.0
Player 1,14.0,0.0,0.0,0.0
Player 1,46.0,9.0,15.666666666666666,3.0
Player 2,36.0,13.0,13.666666666666666,3.0
Player 1,20.0,0.0,0.0,0.0
Player 1,29.0,21.0,11.0,3.0
Player 2,17.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,45.0,1.0,10.2,5.0
Player 1,50.0,19.0,16.0,4.0
Player 1,16.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,38.0,17.0,17.0,2.0
Player 2,21.0,0.0,0.0,0.0
Player 2,18.0,1.0,1.0,1.0
Player 2,32.0,7.0,10.0,2.0
Player 1,16.0,0.0,0.0,0.0
Player 1,89.0,19.0,14.555555555555555,9.0
Player 1,19.0,0.0,0.0,0.0
Player 1,29.0,21.0,21.0,1.0
Player 1,33.0,11.0,17.0,2.0
Player 1,51.0,21.0,12.2,5.0
Player 2,18.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,26.0,23.0,23.0,1.0
Player 1,20.0,19.0,19.0,1.0
Player 1,33.0,5.0,11.0,3.0
Player 1,43.0,13.0,13.0,4.0
Player 2,21.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,39.0,25.0,20.0,2.0
Player 2,18.0,0.0,0.0,0.0
Player 1,34.0,15.0,16.333333333333332,3.0
Player 2,19.0,0.0,0.0,0.0
Player 2,15.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,18.0,0.0,0.0,0.0
Player 1,21.0,5.0,7.0,2.0
Player 2,15.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 2,33.0,11.0,10.0,2.0
Player 1,21.0,0.0,0.0,0.0
Player 1,45.0,15.0,14.6,5.0
Player 1,18.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,35.0,29.0,16.0,2.0
Player 2,39.0,3.0,16.0,2.0
Player 2,22.0,11.0,11.0,1.0
Player 2,24.0,5.0,5.0,1.0
Player 1,17.0,7.0,7.0,1.0
